observation_id,flight_id,item_id,source_image_id,reference_image_id,consumption_estimate_pct
OBS-01-chicken_rice_vegetables-001,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-001,REF-chicken_rice_vegetables-01,87
OBS-01-chicken_rice_vegetables-002,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-002,REF-chicken_rice_vegetables-01,67
OBS-01-chicken_rice_vegetables-003,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-003,REF-chicken_rice_vegetables-01,74
OBS-01-chicken_rice_vegetables-004,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-004,REF-chicken_rice_vegetables-01,76
OBS-01-chicken_rice_vegetables-005,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-005,REF-chicken_rice_vegetables-01,80
OBS-01-chicken_rice_vegetables-006,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-006,REF-chicken_rice_vegetables-01,86
OBS-01-chicken_rice_vegetables-007,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-007,REF-chicken_rice_vegetables-01,83
OBS-01-chicken_rice_vegetables-008,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-008,REF-chicken_rice_vegetables-01,72
OBS-01-chicken_rice_vegetables-009,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-009,REF-chicken_rice_vegetables-01,100
OBS-01-chicken_rice_vegetables-010,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-010,REF-chicken_rice_vegetables-01,98
OBS-01-chicken_rice_vegetables-011,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-011,REF-chicken_rice_vegetables-01,94
OBS-01-chicken_rice_vegetables-012,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-012,REF-chicken_rice_vegetables-01,97
OBS-01-chicken_rice_vegetables-013,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-013,REF-chicken_rice_vegetables-01,83
OBS-01-chicken_rice_vegetables-014,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-014,REF-chicken_rice_vegetables-01,65
OBS-01-chicken_rice_vegetables-015,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-015,REF-chicken_rice_vegetables-01,77
OBS-01-chicken_rice_vegetables-016,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-016,REF-chicken_rice_vegetables-01,83
OBS-01-chicken_rice_vegetables-017,FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,IMG-01-017,REF-chicken_rice_vegetables-01,83
