flight_id,item_id,loaded_quantity,served_quantity
FRA-HND-2026-07-04-GE101,chicken_rice_vegetables,315,300
FRA-HND-2026-07-04-GE101,fish_rice_vegetables,270,165
FRA-HND-2026-07-04-GE101,salad,90,81
FRA-HND-2026-07-04-GE101,wrap,105,96
FRA-HND-2026-07-04-GE101,bread_roll,630,570
FRA-HND-2026-07-04-GE101,standard_side_salad,540,345
FRA-HND-2026-07-04-GE101,chocolate_cake,270,246
FRA-HND-2026-07-04-GE101,vanilla_pudding_fruit,225,201
FRA-HND-2026-07-04-GE101,fruit_salad,210,192
FRA-HND-2026-07-04-GE101,cola,330,294
FRA-HND-2026-07-04-GE101,orange_juice,255,228
FRA-HND-2026-07-04-GE101,water,690,660
FRA-HND-2026-07-04-GE101,coffee,240,195
FRA-HND-2026-07-04-GE101,tea,225,186
FRA-HND-2026-07-04-GE101,butter,435,360
FRA-HND-2026-07-04-GE101,cherry_jam,135,105
FRA-HND-2026-07-04-GE101,plum_jam,126,96
FRA-HND-2026-07-04-GE101,honey,120,93
FRA-HND-2026-07-04-GE101,cookie,714,690
FRA-HND-2026-07-18-GE101,chicken_rice_vegetables,336,321
FRA-HND-2026-07-18-GE101,fish_rice_vegetables,288,177
FRA-HND-2026-07-18-GE101,salad,96,87
FRA-HND-2026-07-18-GE101,wrap,111,102
FRA-HND-2026-07-18-GE101,bread_roll,666,603
FRA-HND-2026-07-18-GE101,standard_side_salad,570,363
FRA-HND-2026-07-18-GE101,chocolate_cake,285,261
FRA-HND-2026-07-18-GE101,vanilla_pudding_fruit,237,213
FRA-HND-2026-07-18-GE101,fruit_salad,222,204
FRA-HND-2026-07-18-GE101,cola,348,312
FRA-HND-2026-07-18-GE101,orange_juice,270,243
FRA-HND-2026-07-18-GE101,water,729,696
FRA-HND-2026-07-18-GE101,coffee,0,0
FRA-HND-2026-07-18-GE101,tea,237,195
FRA-HND-2026-07-18-GE101,butter,459,381
FRA-HND-2026-07-18-GE101,cherry_jam,144,111
FRA-HND-2026-07-18-GE101,plum_jam,132,102
FRA-HND-2026-07-18-GE101,honey,126,99
FRA-HND-2026-07-18-GE101,cookie,756,732
HND-FRA-2026-07-08-GE102,chicken_rice_vegetables,324,306
HND-FRA-2026-07-08-GE102,fish_rice_vegetables,276,171
HND-FRA-2026-07-08-GE102,salad,93,84
HND-FRA-2026-07-08-GE102,wrap,108,99
HND-FRA-2026-07-08-GE102,bread_roll,648,585
HND-FRA-2026-07-08-GE102,standard_side_salad,552,354
HND-FRA-2026-07-08-GE102,chocolate_cake,276,252
HND-FRA-2026-07-08-GE102,vanilla_pudding_fruit,231,207
HND-FRA-2026-07-08-GE102,fruit_salad,216,198
HND-FRA-2026-07-08-GE102,cola,339,303
HND-FRA-2026-07-08-GE102,orange_juice,261,234
HND-FRA-2026-07-08-GE102,water,705,672
HND-FRA-2026-07-08-GE102,coffee,246,198
HND-FRA-2026-07-08-GE102,tea,231,192
HND-FRA-2026-07-08-GE102,butter,444,369
HND-FRA-2026-07-08-GE102,cherry_jam,138,108
HND-FRA-2026-07-08-GE102,plum_jam,129,99
HND-FRA-2026-07-08-GE102,honey,123,96
HND-FRA-2026-07-08-GE102,cookie,732,708
HND-FRA-2026-07-22-GE102,chicken_rice_vegetables,303,288
HND-FRA-2026-07-22-GE102,fish_rice_vegetables,258,159
HND-FRA-2026-07-22-GE102,salad,87,78
HND-FRA-2026-07-22-GE102,wrap,102,93
HND-FRA-2026-07-22-GE102,bread_roll,609,549
HND-FRA-2026-07-22-GE102,standard_side_salad,519,330
HND-FRA-2026-07-22-GE102,chocolate_cake,258,237
HND-FRA-2026-07-22-GE102,vanilla_pudding_fruit,216,195
HND-FRA-2026-07-22-GE102,fruit_salad,204,186
HND-FRA-2026-07-22-GE102,cola,318,285
HND-FRA-2026-07-22-GE102,orange_juice,246,219
HND-FRA-2026-07-22-GE102,water,663,633
HND-FRA-2026-07-22-GE102,coffee,0,0
HND-FRA-2026-07-22-GE102,tea,216,180
HND-FRA-2026-07-22-GE102,butter,417,345
HND-FRA-2026-07-22-GE102,cherry_jam,129,99
HND-FRA-2026-07-22-GE102,plum_jam,120,93
HND-FRA-2026-07-22-GE102,honey,114,90
HND-FRA-2026-07-22-GE102,cookie,687,663
